İl Adı,İl Kodu,3-9 Tem 2021,10-16 Tem 2021,17-23 Tem 2021,24-30 Tem 2021,31 Tem-6 Ağu 2021,7-13 Ağu 2021,14-20 Ağu 2021,21-27 Ağu 2021,28 Ağu-3 Eyl 2021,4-10 Eyl 2021,11-17 Eyl 2021,18-24 Eyl 2021,25 Eyl-1 Eki 2021,2-8 Eki 2021,9-15 Eki 2021,16-22 Eki 2021,23-29 Eki 2021,30 Eki-5 Kas 2021
Adana,01,9.43,20.29,41.03,122.28,205.22,241.64,168.41,97.13,98.33,99.79,148.67,177.05,202.64,195.15,234.38,230.88,240.05,252.80
Adıyaman,02,11.54,13.93,22.29,55.02,89.47,121.11,98.66,129.65,182.15,237.01,267.37,257.09,245.55,209.34,239.38,233.53,182.46,147.68
Afyon,03,31.89,27.81,34.98,88.48,133.38,191.88,157.96,181.70,214.95,199.62,228.11,247.25,233.54,220.78,202.20,197.99,122.00,125.52
Ağrı,04,193.86,188.96,223.54,334.31,375.34,383.99,263.52,211.60,203.01,191.62,168.46,200.40,208.99,201.14,168.83,110.75,62.38,56.22
Aksaray,68,29.08,39.55,52.72,180.37,275.68,361.69,358.15,413.23,424.58,375.88,298.34,257.68,155.79,128.13,133.09,85.10,69.74,74.70
Amasya,05,27.42,29.21,36.66,68.85,108.91,126.68,109.09,110.88,103.43,146.05,212.82,219.97,228.62,297.47,305.22,332.94,322.51,373.18
Ankara,06,59.10,57.95,69.13,165.20,184.58,199.55,176.38,194.96,242.61,282.66,343.08,394.70,363.69,356.49,374.00,328.31,287.85,287.04
Antalya,07,65.02,69.65,75.97,72.68,59.61,47.29,43.13,39.52,41.40,40.46,47.29,46.74,39.83,43.21,38.89,52.27,61.92,68.83
Ardahan,75,80.07,52.51,83.19,113.35,156.34,228.78,165.35,166.39,159.11,122.71,103.99,159.11,243.34,350.45,432.61,293.26,176.79,161.19
Artvin,08,30.68,33.88,41.30,105.60,290.72,308.55,234.81,224.78,200.59,217.11,273.74,255.46,198.82,225.96,218.29,161.06,153.98,169.91
Aydın,09,11.97,16.01,28.06,35.83,68.90,38.69,36.10,37.44,39.59,38.60,45.48,49.01,47.09,49.24,48.43,47.18,49.24,57.46
Balıkesir,10,16.77,20.43,29.03,64.50,88.47,78.29,69.10,64.58,65.87,64.34,80.87,97.80,208.50,241.48,261.79,297.35,360.64,410.79
Bartın,74,15.08,14.43,21.61,86.94,138.52,114.58,91.97,88.45,141.22,167.86,223.64,306.06,308.07,321.64,357.32,278.42,268.87,262.84
Batman,72,49.82,55.38,83.95,309.86,557.11,656.80,420.78,389.83,320.82,252.31,205.07,180.40,121.56,96.09,70.29,37.56,26.92,28.05
Bayburt,69,19.53,35.05,53.72,114.76,160.60,252.72,404.10,473.69,507.87,465.14,393.11,285.68,220.97,179.47,141.62,85.46,79.36,68.37
Bilecik,11,30.63,28.97,32.92,89.16,101.67,128.93,106.53,134.42,162.77,200.72,259.70,334.68,287.59,335.14,345.19,332.39,356.17,339.71
Bingöl,12,45.78,91.35,130.70,447.18,618.02,546.19,421.98,317.64,315.51,300.96,280.73,314.80,332.90,330.41,327.22,229.62,145.86,166.45
Bitlis,13,119.09,122.13,202.85,413.68,524.39,441.32,303.14,267.81,228.78,207.98,182.91,160.97,154.70,113.11,128.21,92.88,61.25,52.14
Bolu,14,50.51,43.71,41.30,95.30,122.04,112.77,128.65,168.36,257.62,277.63,310.99,400.89,372.62,415.50,410.42,414.55,391.36,420.26
Burdur,15,32.95,38.55,65.15,185.33,254.85,253.10,223.14,71.89,74.51,75.25,111.95,150.51,180.84,177.47,210.41,171.85,146.02,160.99
Bursa,16,27.95,31.98,43.63,93.62,114.03,129.70,96.10,74.18,73.99,74.12,135.86,233.86,363.75,394.22,412.59,411.79,392.06,396.41
Çanakkale,17,17.73,21.57,31.21,81.06,105.07,83.46,65.37,57.43,59.83,53.73,88.08,119.47,130.37,142.55,154.19,185.76,222.33,246.70
