İl Adı,İl Kodu,20-26 Kas 2021,27 Kas-3 Ara 2021,4-10 Ara 2021,11-17 Ara 2021,18-24 Ara 2021,25-31 Ara 2021,01-07 Oca 2022,08-14 Oca 2022,15-21 Oca 2022,22-28 Oca 2022,29 Oca-4 Şub 2022,5-11 Şub 2022,12-18 Şub 2022,19-25 Şub 2022,26 Şub-4 Mar 2022,5-11 Mar 2022,12-18 Mar 2022,19-25 Mar 2022
Adana,01,416.65,381.23,306.41,263.87,170.36,151.55,198.65,222.69,251.69,481.47,875.23,989.54,868.08,742.74,434.18,195.64,121.63,106.65
Adıyaman,02,58.50,54.55,28.62,29.25,16.92,12.97,16.92,52.34,58.98,98.66,449.36,744.92,664.56,488.49,192.04,62.17,31.32,14.55
Afyon,03,109.51,102.05,76.67,63.10,56.86,83.59,100.15,151.58,196.22,364.90,635.76,686.66,507.67,393.86,211.24,102.13,58.86,46.90
Ağrı,04,25.03,16.25,9.15,7.47,6.16,2.99,12.33,41.84,122.14,367.18,460.19,275.04,160.11,117.60,94.92,48.41,33.93,20.97
Aksaray,68,70.21,72.34,61.94,51.30,41.37,64.30,99.52,193.61,236.40,180.37,372.33,497.36,652.81,855.57,555.16,257.30,109.77,60.36
Amasya,05,273.63,261.11,221.17,202.69,180.33,152.91,195.53,191.66,256.04,359.17,780.64,1358.06,1961.64,1686.69,868.40,400.50,201.89,131.81
Ankara,06,202.88,182.37,158.76,144.10,129.82,184.29,386.15,629.65,725.62,1003.30,1279.73,1323.97,1216.83,1275.52,916.03,541.56,395.38,290.83
Antalya,07,70.75,69.65,67.02,66.55,66.83,89.20,90.61,92.26,94.10,118.55,136.44,145.09,148.44,142.03,125.92,95.39,87.83,83.55
Ardahan,75,111.27,120.63,54.08,40.56,29.12,20.80,19.76,68.63,158.07,410.77,652.03,592.00,446.64,508.79,330.76,146.42,83.22,56.88
Artvin,08,165.78,186.43,217.70,241.89,225.37,200.59,212.98,216.52,218.29,469.61,923.30,1042.80,1049.29,857.01,427.62,196.41,94.37,85.52
Aydın,09,60.94,58.35,57.99,59.07,59.42,207.67,354.84,363.78,284.07,401.94,728.99,772.99,713.38,594.96,374.15,218.07,163.49,149.38
Balıkesir,10,388.70,380.40,323.88,257.92,245.27,316.78,437.80,415.47,432.24,597.69,900.52,923.39,784.50,651.52,435.95,291.22,222.05,187.83
Bartın,74,220.63,192.48,149.76,135.19,110.56,136.20,218.62,358.83,411.60,567.40,724.20,625.65,441.72,402.56,238.46,175.99,133.36,84.77
Batman,72,11.77,18.06,9.35,12.74,11.12,11.77,35.95,166.38,306.64,484.46,499.78,308.47,145.29,120.07,83.18,41.19,30.50,21.87
Bayburt,69,35.40,31.74,29.30,13.43,21.98,25.64,48.83,111.10,249.05,533.51,402.88,312.79,188.14,165.80,164.62,89.37,58.79,17.64
Bilecik,11,380.40,387.72,366.68,331.94,286.67,356.17,551.40,769.03,678.50,628.21,703.19,700.29,677.95,748.03,631.09,448.90,364.82,301.75
Bingöl,12,63.53,48.98,25.55,20.23,36.55,89.79,705.90,1410.74,700.93,266.18,144.09,91.84,74.88,80.89,71.70,56.51,38.50,32.85
Bitlis,13,23.08,11.68,7.69,8.55,5.41,11.97,18.80,77.49,177.21,448.44,501.15,355.40,230.78,186.50,123.77,54.50,30.94,23.84
Bolu,14,306.22,267.79,261.43,252.54,202.03,245.23,384.37,709.06,697.90,879.60,950.12,899.65,876.21,1000.89,706.22,368.42,228.12,183.74
Burdur,15,232.88,238.87,215.28,204.80,179.34,194.32,230.63,248.98,241.49,447.41,805.71,1109.18,1108.08,831.15,426.72,197.65,89.87,76.72
Bursa,16,275.26,250.79,211.91,180.15,159.71,204.91,333.54,490.23,667.96,928.81,1303.39,1138.03,881.12,728.16,434.94,224.76,132.76,102.64
Çanakkale,17,380.21,472.53,464.78,456.84,462.01,594.04,609.55,518.33,519.99,716.46,1059.37,1064.28,1007.40,935.44,662.51,453.81,387.24,392.80
Çankırı,18,169.41,148.11,106.53,104.97,85.75,82.11,96.66,280.10,457.31,713.51,1035.19,1001.96,803.50,789.76,595.88,346.54,263.59,152.66
Çorum,19,269.75,253.52,227.49,198.82,151.47,138.83,175.43,216.18,306.34,521.76,937.32,1205.82,1292.08,1184.54,684.99,343.92,192.29,127.88
Denizli,20,234.70,249.78,249.20,223.65,224.80,266.02,294.26,330.86,336.82,442.59,832.15,1015.84,1136.86,968.84,574.09,269.82,153.08,118.26
Diyarbakır,21,37.01,29.55,20.41,21.36,18.50,20.19,49.62,143.54,243.07,475.54,735.49,559.35,398.13,292.57,183.71,88.09,52.36,36.01
Düzce,81,360.65,279.77,194.60,173.88,132.43,185.25,324.25,516.07,528.21,592.90,752.88,744.43,688.57,687.82,464.37,260.61,160.86,123.20
Edirne,22,212.13,278.59,311.95,306.80,329.11,428.44,527.51,468.41,502.50,537.57,724.69,677.72,563.92,497.43,393.58,337.04,353.54,310.59
Elazığ,23,93.20,73.13,61.74,39.97,33.00,33.00,68.37,224.85,364.65,800.39,1045.82,823.35,584.44,462.18,330.73,175.48,115.46,79.24
Erzincan,24,177.02,135.65,94.27,100.24,83.18,79.34,87.02,188.54,339.55,491.40,702.13,732.67,634.08,638.72,425.95,193.81,115.86,61.51
Erzurum,25,48.14,35.48,22.02,23.47,14.51,28.75,84.53,328.77,596.09,763.57,539.64,324.35,191.31,144.41,110.19,60.91,36.46,28.93
Eskişehir,26,311.53,335.72,335.72,358.79,427.42,825.92,1359.54,1427.50,725.00,625.88,636.23,640.61,675.22,835.29,856.33,709.95,628.47,547.21
Gaziantep,27,67.25,51.16,25.94,26.13,17.13,15.04,39.55,114.89,155.53,182.99,318.97,380.81,370.54,343.50,196.72,84.02,50.79,29.43
Giresun,28,284.14,298.63,283.25,278.57,247.15,274.78,450.39,626.22,679.71,920.17,1352.29,1198.92,1023.21,957.23,625.79,411.19,270.80,210.15
Gümüşhane,29,201.83,213.83,159.49,127.03,158.78,276.64,532.10,691.59,399.43,378.26,433.30,353.72,308.42,323.08,266.46,137.89,89.26,77.94
Hakkari,30,8.56,13.19,4.28,2.50,3.92,3.56,6.77,19.61,77.71,277.35,416.02,235.07,160.31,94.17,60.02,30.55,15.81,10.42
Hatay,31,347.55,317.66,224.97,223.40,144.46,109.86,116.31,106.43,114.44,230.03,518.10,768.65,703.41,565.75,254.86,102.23,48.18,31.48
Iğdır,76,59.11,69.05,52.65,45.70,30.80,21.36,41.73,95.87,210.12,585.16,818.62,585.26,376.06,297.80,186.06,84.66,53.16,43.81
Isparta,32,178.74,155.35,162.39,205.99,195.55,215.99,208.49,219.85,276.85,570.06,944.80,1027.87,899.53,945.30,701.63,343.52,166.71,133.28
İstanbul,34,287.40,269.58,245.70,244.15,303.51,663.69,1222.37,1571.46,1245.73,889.58,894.82,717.58,617.50,646.49,522.38,340.61,239.48,196.06
İzmir,35,70.65,69.58,68.47,67.97,68.54,323.30,574.85,714.29,729.81,961.57,1229.37,1017.38,776.25,662.39,456.19,324.82,247.16,113.95
Kahramanmaraş,46,240.46,151.18,94.68,61.55,34.16,28.34,40.83,92.45,133.37,292.00,669.08,825.41,680.27,462.39,223.51,88.96,41.24,23.73
Karabük,78,378.06,314.02,238.08,167.07,124.79,100.57,295.96,412.54,392.83,663.75,1088.61,1181.37,1111.57,1032.14,649.85,353.81,205.39,146.42
Karaman,70,98.46,76.89,59.23,63.55,55.70,40.80,74.93,81.20,107.09,295.39,662.56,992.51,975.13,868.88,520.02,208.62,121.31,63.75
Kars,36,51.24,42.12,24.92,19.65,8.77,16.14,26.32,117.58,221.81,425.38,501.19,449.70,340.83,246.20,170.06,96.77,41.63,29.53
Kastamonu,37,231.95,193.16,161.54,181.47,133.64,144.00,190.77,328.93,453.00,649.88,887.67,931.60,872.76,896.45,626.48,332.28,193.56,137.38
Kayseri,38,93.64,73.09,50.23,53.04,41.58,47.63,98.42,192.82,274.23,555.28,820.78,1059.36,785.79,739.22,459.23,198.42,91.19,43.29
Kırıkkale,71,149.98,126.66,105.13,78.94,62.07,63.51,122.71,265.52,396.12,693.57,984.56,1004.10,804.44,690.30,438.46,235.53,162.70,142.05
Kırklareli,39,379.83,456.13,467.74,445.63,468.85,590.21,843.43,910.88,889.32,1214.42,1489.20,1229.38,886.83,770.00,564.19,451.19,415.16,402.33
Kırşehir,40,204.90,213.95,167.05,117.68,82.29,90.52,139.89,216.83,210.25,371.95,604.42,871.39,1206.86,1476.06,906.79,477.89,294.31,202.52
Kilis,79,160.37,72.83,70.03,48.32,31.51,32.92,42.02,100.15,154.07,302.54,672.31,776.95,639.80,541.06,243.44,139.21,61.03,42.52
Kocaeli,41,357.24,327.70,282.04,256.60,245.94,339.42,511.65,800.55,930.58,1042.28,1277.95,1106.89,972.93,922.28,676.44,386.24,241.07,173.60
Konya,42,88.13,77.29,65.42,59.02,47.82,56.71,83.11,153.95,284.13,500.71,795.82,927.09,790.46,692.40,441.06,209.48,125.12,88.23
Kütahya,43,255.42,199.07,166.29,143.23,137.16,167.51,226.12,309.53,407.15,601.37,928.40,933.74,706.31,578.25,409.75,255.94,183.88,145.34
Malatya,44,64.75,50.11,32.62,16.13,10.92,16.62,25.68,76.91,105.56,253.80,503.62,707.93,652.78,577.23,334.24,129.34,67.39,40.81
Manisa,45,200.95,199.29,179.23,158.35,140.49,182.47,278.23,367.91,442.29,724.18,1039.97,776.11,474.18,326.30,179.80,102.63,69.27,60.00
Mardin,47,22.11,16.73,12.28,10.18,7.84,10.06,21.64,78.39,124.49,270.73,439.80,349.00,222.43,142.68,81.37,34.77,18.89,17.04
Mersin,33,345.74,345.63,283.13,276.07,221.81,202.97,233.79,224.64,198.42,364.09,651.34,866.09,864.13,856.15,571.29,273.01,164.93,137.64
Muğla,48,60.65,58.35,57.96,58.16,58.85,188.25,605.33,615.82,536.49,652.90,962.86,968.52,870.40,773.94,519.52,357.15,290.26,113.11
Muş,49,19.95,12.65,9.97,6.08,5.35,6.08,13.62,63.00,160.54,366.08,354.40,218.40,116.72,109.57,85.14,38.99,21.47,14.07
Nevşehir,50,155.76,146.58,98.37,112.80,72.80,91.81,146.90,223.96,326.27,436.12,629.26,680.19,652.59,661.36,451.29,265.58,126.30,84.74
Niğde,51,175.66,131.47,119.87,86.72,69.05,73.74,88.93,114.34,162.68,298.01,577.79,653.24,481.68,510.00,367.04,160.56,81.93,47.01
Ordu,52,417.26,362.10,378.91,386.26,312.98,328.34,381.53,446.55,477.02,715.79,1188.86,1283.26,1190.48,1183.38,742.83,420.83,238.54,184.00
Osmaniye,80,600.85,468.87,363.86,294.04,214.38,139.46,123.05,99.53,102.27,261.78,602.13,955.86,961.64,926.56,438.33,181.55,87.88,61.84
Rize,53,179.75,191.08,198.34,254.10,232.32,231.15,378.38,676.91,672.84,997.51,1350.33,1324.70,1073.30,706.47,451.60,247.93,162.88,111.67
Sakarya,54,278.33,249.27,213.88,185.39,176.86,212.25,324.75,478.11,570.66,651.42,847.74,819.79,682.08,589.42,390.90,200.12,110.00,81.44
Samsun,55,327.27,294.162,49.62,249.91,200.95,222.33,283.39,343.79,450.49,704.83,1314.67,1530.91,1606.32,1425.03,736.18,341.73,198.36,125.65
Siirt,56,33.23,23.86,14.20,18.43,20.84,33.53,94.54,281.51,419.85,528.59,417.43,313.27,174.71,147.60,90.67,57.83,25.91,27.11
Sinop,57,282.27,302.60,288.27,253.16,156.15,191.26,204.19,333.55,415.32,687.89,886.08,1094.74,896.03,793.93,548.51,363.08,272.43,242.67
Sivas,58,113.86,92.94,68.25,53.78,50.17,40.57,66.36,154.27,280.08,486.56,656.88,658.68,476.48,537.00,425.39,218.04,120.89,79.39
Şanlıurfa,63,37.11,29.64,18.25,13.76,12.01,10.73,19.81,37.82,48.65,119.18,253.73,311.62,252.73,195.61,103.03,38.26,15.54,10.36
Şırnak,73,8.37,11.34,10.97,6.69,6.69,6.69,18.97,59.88,93.91,146.16,194.14,143.25,82.88,55.62,31.83,14.27,8.60,9.33
Tekirdağ,59,288.14,336.43,358.63,351.32,333.00,387.12,547.61,707.54,814.01,1020.01,1121.58,805.19,543.74,464.34,355.31,224.36,209.09,185.11
Tokat,60,384.70,285.35,283.01,253.40,191.68,176.30,193.19,281.17,390.56,743.65,1245.77,1410.63,1336.12,956.41,465.18,192.01,103.39,49.29
Trabzon,61,289.94,287.97,303.98,326.15,237.10,299.30,447.59,643.43,589.97,853.31,1205.32,1220.30,1091.85,948.84,614.19,336.48,194.81,147.55
Tunceli,62,460.19,297.21,228.90,154.60,65.91,70.71,143.81,349.94,432.63,695.09,895.22,791.44,857.19,731.66,646.78,345.51,273.78,218.78
