İl Adı,İl Kodu,8-14 Şub 2021,15-21 Şub 2021,20-26 Şub 2021,27 Şub-5 Mar 2021,6-12 Mar 2021,13-19 Mar 2021,20-26 Mar 2021,27 Mar-2 Nis 2021,3-9 Nis 2021,10-16 Nis 2021
Adana,01,59.95,42.86,41.22,53.22,63.00,61.58,86.95,111.26,171.16,187.36
Adıyaman,02,100.55,120.64,116.20,140.88,154.63,169.81,199.70,230.69,260.89,248.08
Afyon,03,22.32,31.62,38.44,47.63,47.50,47.36,70.43,153.21,248.20,359.74
Ağrı,04,27.50,19.61,19.00,24.47,22.22,41.46,59.02,121.96,254.19,307.23
Aksaray,68,92.01,108.27,123.08,140.89,173.52,214.42,231.44,257.91,328.83,356.26
Amasya,05,96.06,90.31,110.50,183.91,163.64,194.04,279.89,370.50,424.45,461.11
Ankara,06,35.49,35.39,39.84,54.83,68.53,107.99,184.29,272.79,419.06,534.14
Antalya,07,78.20,78.92,78.11,82.05,95.16,119.18,143.86,190.44,270.96,301.65
Ardahan,75,65.63,88.39,58.37,70.71,73.83,86.31,134.15,185.11,179.91,230.86
Artvin,08,78.42,75.52,88.67,109.12,100.88,113.86,131.56,164.60,223.60,230.09
Aydın,09,35.21,37.71,42.24,49.42,58.71,69.07,109.11,153.16,223.67,268.08
Balıkesir,10,83.65,92.40,142.57,172.46,257.60,288.16,344.84,430.63,529.88,566.32
Bartın,74,44.69,31.16,42.72,75.89,62.82,76.89,136.20,232.69,432.21,512.11
Batman,72,12.49,8.71,8.06,8.87,15.64,28.54,46.11,57.39,109.14,157.19
Bayburt,69,60.71,21.98,31.51,39.07,51.28,74.47,161.15,244.17,472.47,568.92
Bilecik,11,35.41,45.72,60.84,65.38,81.38,114.30,227.69,340.62,480.53,494.25
Bingöl,12,26.81,18.45,15.81,17.04,25.20,47.56,69.56,124.57,204.42,300.25
Bitlis,13,10.35,15.10,15.68,29.06,15.95,23.08,37.04,47.29,105.70,150.15
Bolu,14,44.96,75.60,83.10,68.30,65.76,100.38,183.61,287.80,327.19,442.18
Burdur,15,75.54,93.23,105.36,105.21,86.49,72.26,82.74,92.85,150.14,258.71
Bursa,16,34.87,39.14,49.78,58.55,78.47,97.14,159.68,260.43,418.37,500.57
Çanakkale,17,37.61,43.76,81.51,107.29,149.76,202.75,348.81,546.77,797.34,962.98
Çankırı,18,22.86,26.50,28.50,22.87,47.29,122.64,247.88,305.57,411.58,399.11
Çorum,19,35.36,41.31,28.12,44.71,73.19,138.65,232.77,322.56,425.56,475.55
Denizli,20,32.52,31.51,32.14,38.81,41.50,49.38,68.40,94.15,142.86,223.36
Diyarbakır,21,17.53,18.00,17.94,19.85,17.83,18.78,36.28,60.05,93.92,117.36
Düzce,81,43.99,48.78,55.91,55.60,81.63,95.28,123.33,217.85,354.83,521.38
Edirne,22,65.66,75.29,107.43,180.01,200.36,219.49,265.84,409.06,577.54,590.05
Elazığ,23,50.42,44.22,39.68,35.72,29.59,80.11,117.87,153.92,250.19,311.93
Erzincan,24,60.37,34.13,37.13,31.14,53.75,124.13,200.06,321.20,466.66,593.35
Erzurum,25,37.71,50.90,48.30,52.22,45.63,72.40,118.95,245.16,369.78,493.09
Eskişehir,26,30.99,35.55,43.85,48.27,74.59,116.56,235.25,358.90,524.85,605.85
Gaziantep,27,26.72,35.08,36.35,44.40,67.44,87.33,134.16,171.86,244.58,293.36
Giresun,28,184.34,217.51,264.71,282.14,296.84,356.35,397.57,503.88,591.01,624.22
Gümüşhane,29,97.18,88.21,114.58,151.73,137.61,105.15,124.20,206.07,239.23,242.76
Hakkari,30,9.55,3.21,4.97,5.35,7.84,15.69,35.65,36.72,46.34,91.26
Hatay,31,62.82,45.50,40.46,61.95,69.43,61.77,89.13,132.95,185.50,239.74
Iğdır,76,23.28,10.43,17.19,24.84,80.97,107.30,145.05,225.52,325.36,415.77
Isparta,32,33.88,29.53,39.14,47.24,61.09,74.49,112.88,157.39,317.05,367.47
İstanbul,34,60.19,68.23,89.90,111.57,178.25,251.12,401.62,591.45,804.97,920.57
İzmir,35,44.39,42.67,53.42,66.47,78.57,111.41,156.48,218.88,304.07,351.97
Kahramanmaraş,46,39.38,35.35,32.90,41.52,56.50,67.37,89.03,112.83,210.33,221.46
Karabük,78,34.15,16.83,25.80,41.46,47.21,84.15,106.32,202.78,263.53,380.52
Karaman,70,103.16,105.92,64.76,55.31,56.88,89.44,154.95,196.53,240.86,298.92
Kars,36,17.79,18.60,22.84,25.27,24.92,30.53,55.80,106.34,191.28,291.66
Kastamonu,37,29.73,21.76,34.10,65.63,118.23,197.41,329.19,453.00,653.33,683.09
Kayseri,38,56.71,74.08,88.05,97.72,142.95,196.07,260.16,315.94,397.76,504.20
Kırıkkale,71,43.23,47.36,51.43,62.43,88.27,73.91,114.46,179.76,324.72,430.57
Kırklareli,39,52.61,71.05,96.44,116.94,137.12,155.09,298.28,518.33,882.13,830.44
Kırşehir,40,29.90,30.86,21.89,40.32,47.73,61.31,95.87,158.00,237.82,315.99
Kilis,79,51.57,48.32,68.00,163.17,255.62,258.42,324.25,385.88,508.43,462.21
Kocaeli,41,88.19,92.53,99.18,112.25,138.39,176.39,262.11,371.11,523.52,666.41
Konya,42,90.99,101.95,119.28,150.98,203.91,252.18,334.97,426.17,495.24,579.37
Kütahya,43,50.91,57.74,71.97,85.31,85.14,111.33,153.12,190.57,280.57,375.77
Malatya,44,40.92,44.28,46.35,53.22,92.66,140.54,283.32,373.87,504.00,563.79
Manisa,45,42.52,36.74,39.64,50.81,50.12,64.66,82.72,139.04,239.69,305.39
Mardin,47,15.33,12.52,9.24,10.88,17.32,17.08,31.24,48.91,63.06,93.83
Mersin,33,90.57,87.87,91.57,100.82,96.75,80.70,110.66,122.17,181.94,213.56
